epoch,train_acc,test_acc
0,0.7217265843244847,0.8506095938548774
1,0.8702071034506466,0.8810241565197885
2,0.8880135777673982,0.8941741328917907
3,0.8993786276343546,0.9039452017428641
4,0.9077003808695088,0.9109299722797646
5,0.9137094195447802,0.9161109126402525
6,0.9181355664665014,0.9199144730348148
7,0.921505904121154,0.9229481911850358
8,0.924220810876038,0.9253598620036322
9,0.9264093824986661,0.9273880586356582
10,0.9282668546248783,0.9291055120064883
11,0.9298865008698612,0.9306159347952726
12,0.9312738308363129,0.9318957872285633
13,0.9324623127714589,0.9330065637408851
14,0.9335136052884795,0.9340027054708324
15,0.9344514037690231,0.9348831807444234
16,0.9352726509157766,0.9356555431065913
17,0.9360304166283309,0.9363908438023202
18,0.936712078594664,0.9370396564862055
19,0.9373495007116186,0.9376441603433154
20,0.9379159020286885,0.9381788507969919
21,0.9384337438339215,0.938685766083444
22,0.9389189560665939,0.9391518653275255
23,0.9393704026028585,0.9395839690206524
24,0.93978015588145,0.939984562999022
25,0.9401777140305857,0.9403695898925613
26,0.9405553107468313,0.9407310121522877
27,0.9408954317841446,0.9410611477070199
28,0.9412180988497757,0.9413760726103085
29,0.9415175175685944,0.941653554090756
30,0.9417913389626896,0.9419335088653411
31,0.9420703542844825,0.9422052510993514
32,0.9423330987820082,0.9424580281865381
33,0.9425811573839111,0.9427008059077367
34,0.9428130516462494,0.9429244814750427
35,0.9430306658124847,0.9431401804119408
36,0.9432482864366871,0.9433527695153184
37,0.9434537486700912,0.9435541822102839
38,0.9436504861420651,0.9437463993061043
39,0.9438361415989326,0.9439265882084986
40,0.944015396684169,0.9441038226794624
41,0.9441852166315908,0.9442696428012275
42,0.9443505932584428,0.944433337939765
43,0.9445112335165278,0.9445880521275476
44,0.9446629621626669,0.9447377395773221
45,0.9448126030676246,0.9448856228816963
46,0.9449553396881679,0.9450256308477245
47,0.9450958086533493,0.9451627161555395
48,0.9452253740346642,0.9452920547707048
49,0.9453575165275586,0.945418445165745
