epoch,train_loss,test_loss
0,0.8478347628136699,0.1703613512031111
1,0.1535922061849272,0.05207951237949041
2,0.06480583067786062,0.0244580268669861
3,0.03508859048530244,0.016023637547802467
4,0.021555586878724553,0.010022143601287269
5,0.01371265956040705,0.007101773099824288
6,0.009419659732648113,0.00513995175127619
