epoch,train_loss,test_loss
0,0.40009642725016686,0.3281012068238369
1,0.31052727593535095,0.29053942307483316
2,0.28083351003617063,0.2671786506092826
3,0.26016755817671605,0.24955343143884526
4,0.24570681380752965,0.23659634250541067
5,0.23397309121851642,0.22598726881104847
6,0.2247337349247946,0.21759150224369625
7,0.21740718568248607,0.21086362145667853
8,0.21077894823454613,0.2049769965368648
9,0.2055635091148984,0.20043376447849495
10,0.2004838801737656,0.19599411595006322
11,0.19597407298824546,0.1925848369681558
12,0.19221490791574317,0.1882008120140364
13,0.18834097282721937,0.18456388710543167
14,0.18500809072173124,0.18110882932363553
15,0.18171355154639438,0.17855237728634546
16,0.1792034503720654,0.1746356326064398
17,0.17648719314483663,0.17235026861346045
18,0.17353578450905208,0.17041067321633183
19,0.17126605856974533,0.16761980552659478
20,0.1691653867432273,0.16539673734542937
21,0.16687182339638285,0.16393787161208861
22,0.16427276125948087,0.16213805501544198
23,0.1626235533954073,0.16094093771521437
24,0.1605914683276187,0.15910565722473832
25,0.15904385017000533,0.15705893870356472
26,0.1574157669362482,0.15579636145469755
27,0.15558600622716456,0.15469736894895864
28,0.1539226236577314,0.1537146303508171
29,0.15230143986476602,0.1518558193188767
30,0.15125954483730822,0.1502720848314984
31,0.1497653474059026,0.14926562454464823
32,0.14822896816860726,0.14774439776706141
33,0.14710956297037062,0.14729504550958789
34,0.1458089515749584,0.1455681234286275
35,0.1443861158988643,0.14535074744806734
36,0.14339932419159926,0.14282767895695775
37,0.14231048019159812,0.14287124041208002
38,0.14062840658013168,0.14250084974044977
39,0.14009981620196132,0.14163829941389172
40,0.1388694773039781,0.1408839704200279
41,0.13792874470174618,0.14049986137900242
42,0.136970012328554,0.13940333857785825
43,0.1362692473202315,0.1385799689279046
44,0.13508674739618268,0.13808981032219045
45,0.134066819844165,0.1362873522625413
46,0.13299621764636352,0.135556021173333
47,0.13249322336679245,0.13539035788455675
48,0.13136528026093705,0.13491956395118734
49,0.13083015563177913,0.13351124432544376
