epoch,train_acc,test_acc
0,0.3199699358838232,0.6863691326611505
1,0.4845593493928113,0.8288600111533262
2,0.6507441959258641,0.885389343650642
3,0.7671585210253683,0.9241745670238334
4,0.8444370511159851,0.9507731513413256
5,0.8962495397315936,0.9679898803602001
6,0.9306329921198886,0.9781267850814697
7,0.9514208591003479,0.9841642259118074
8,0.9643912890845279,0.9877805797036043
9,0.972584545899356,0.9900423712386397
10,0.9778440010585907,0.9919161749985032
11,0.9818917722418833,0.9932919726343098
12,0.9847509850468337,0.9941544222210595
13,0.9868548153204482,0.9949197916086308
14,0.9885150736158962,0.995346432697319
15,0.9897965861074806,0.9957433473132178
16,0.9909412284436999,0.9961002485785552
17,0.9918543459611375,0.9964365031055076
18,0.992587839667334,0.9967302640597663
19,0.9931723696940592,0.9969290874764054
