epoch,train_acc,test_acc
0,0.5756695813042777,0.667188132534156
1,0.7038444107464381,0.7284132906714001
2,0.742460570022038,0.7538180347229984
3,0.7618616289411272,0.7688640003671517
4,0.7741710533959525,0.7789759992344959
5,0.7829551816259112,0.7865882002421327
6,0.789715094607217,0.7926538532247415
7,0.7952198346001761,0.7976372241973877
8,0.7998018107278007,0.8018297941700833
9,0.8036602195739746,0.805417575344846
10,0.8070443959372384,0.808623679989093
11,0.8100788143702916,0.8114680418291608
12,0.8127713770730155,0.8140279543963639
13,0.8152051770482744,0.8163592458979504
14,0.8174451397487096,0.8184930470746916
15,0.8195119756153652,0.8204989455438949
16,0.821444586958204,0.8223566676716547
17,0.8232370795658657,0.8240920538837845
18,0.8249123786381313,0.8257055252387717
19,0.8264758893694196,0.8272217270490285
20,0.8279372754641942,0.8286319274354625
21,0.8293077311515809,0.8299645429124703
22,0.8306064468520028,0.8312335843975479
23,0.831844598702022,0.8324370923879985
24,0.8330141530173165,0.8335755594276093
25,0.8341180451393128,0.8346519605130762
26,0.835170919418335,0.8356821188652838
27,0.8361822310311454,0.8366649267641274
28,0.8371419404438564,0.837605940530429
29,0.8380610315322876,0.8385094810982008
30,0.8389493514605931,0.8393783456570393
31,0.8398011034965515,0.8402160649766793
32,0.8406262473242624,0.8410223490885786
33,0.8414110986709594,0.8417928833011035
34,0.8421685746601649,0.8425409753580351
35,0.8429089112418039,0.843269389022041
36,0.8436253743307931,0.8439809943775873
37,0.844323195375715,0.8446545568672387
38,0.8449927524021693,0.8453256957031585
39,0.8456505817958286,0.8459663213910283
40,0.8462771667616708,0.8465813047982551
41,0.8468886319569179,0.8471869236311397
42,0.8474806406566074,0.8477728815900313
43,0.8480626282419477,0.8483484761940466
44,0.8486345524106707,0.848913969824443
45,0.8491863585608346,0.8494545408600086
46,0.8497201348713466,0.8499805041261621
47,0.8502418517248971,0.8504959459643107
48,0.85074943554742,0.8509988075978047
49,0.851251796395438,0.8514985879128044
