epoch,train_loss,test_loss
0,0.6002324249131339,0.4677622651530279
1,0.45090467285428726,0.41236897668725736
2,0.41459597908428736,0.3883547348951971
3,0.39442053029196605,0.37365995236747973
4,0.3814284210273198,0.3638455725803569
5,0.37136782720429556,0.354878364885981
6,0.36315323945454187,0.3469568047471143
7,0.3562230889456613,0.34189634729881546
8,0.3507260285173144,0.3369020531205712
9,0.3454862379005977,0.3333286930983131
10,0.3407728650229318,0.3287201835396322
11,0.33638113776615686,0.32476872427238
12,0.3328086041961397,0.32124214443201954
13,0.32902506393705094,0.31789162035125335
14,0.3255600165571485,0.3149555707602082
15,0.32222587510517664,0.3127897401919236
16,0.31913730722154887,0.3089287618326174
17,0.31674920614106317,0.30745332094060407
18,0.3137684885093144,0.30618309486355333
19,0.31173397931712016,0.30382886418216937
20,0.3098735106025423,0.30184146016836166
21,0.3074523965358734,0.30093087955705217
22,0.30591520670822686,0.2997946760340317
23,0.3038149036918368,0.2976980283352974
24,0.3019327250446592,0.2961009091924171
25,0.3006250786134175,0.29594958190982407
26,0.29897343510900226,0.2942184960922679
27,0.2972748948029109,0.293288813853586
28,0.2959134370735713,0.2927039940212224
29,0.2945896633352552,0.29138959471035647
30,0.29314627824510847,0.2906297779063115
31,0.2916148684978485,0.2897777744644397
32,0.2903638964550836,0.28820524143206105
33,0.2889781480073929,0.28774985444505474
34,0.28807644878114974,0.287518269004854
35,0.2864416777133942,0.2867106358847908
36,0.2854113711152758,0.2857129778712988
37,0.28479998039518084,0.2849192904761514
38,0.28308453840868814,0.28424441406654344
39,0.2822850077322551,0.2842163281464899
40,0.281176837348938,0.28336539320849086
41,0.2800979312419891,0.28226665085231933
42,0.2792129419394902,0.28216828843830405
43,0.2778461936780385,0.2812768964952714
44,0.2768206444297518,0.28070039196392976
45,0.2761030596767153,0.28098094840911597
46,0.2753494562012809,0.2794560605307689
47,0.2742250433342797,0.27904246591434284
48,0.2738608192818505,0.27899076165379705
49,0.27246695867265974,0.27811530333113027
