epoch,train_acc,test_acc
0,0.38582992583814296,0.4415298281953885
1,0.4954957233534919,0.5448072781929603
2,0.579769206267816,0.6074093259297885
3,0.6275652007823841,0.644085705280304
4,0.6573758179491217,0.6688708433738122
5,0.6784943395391457,0.686938824561926
6,0.6943002438505089,0.7007912787107321
7,0.7066657114711273,0.7118951403177701
8,0.7167036568476295,0.7209972785069392
9,0.7250394275292804,0.7286597180825013
10,0.7320412524822184,0.7350950928834769
11,0.7379619398903766,0.7405629490430539
12,0.7430692365273883,0.7453366346084155
13,0.7475051189512516,0.7495025866306745
14,0.751445171106544,0.7532247717563922
15,0.7550420549381461,0.7566653994413522
16,0.7582643779640648,0.7597242112343128
17,0.7611359097941556,0.7624053634130038
18,0.7637683645844058,0.764953429882343
19,0.766169135518347,0.7672431778449279
20,0.7683956857883569,0.7693971212093647
21,0.7704507270043948,0.7713600053237035
22,0.7723363708165358,0.7732015756460336
23,0.7741085455473826,0.774921429845003
24,0.7757606117010919,0.7765041566812075
25,0.7773161350878,0.7780068608430716
26,0.7787509557574687,0.7794032200024679
27,0.7800923024965858,0.7807054359179276
28,0.7813528510255846,0.7819303491940865
29,0.7825471260130205,0.7830992535902903
30,0.7836930804983132,0.7842112091871408
31,0.7847729649407293,0.785262909073096
32,0.785823498811786,0.7863297072740701
33,0.7868446033410351,0.7873132572724268
34,0.7878125428350686,0.7882502411420529
35,0.7887146062521823,0.789125260252219
36,0.7895947397758664,0.7899890840053558
37,0.790413106631751,0.7907942017683616
38,0.7912236134010533,0.7915880061112918
39,0.7919920976916548,0.7923451008704993
40,0.792754063903282,0.793100004012768
41,0.7934895638464275,0.7938225911213801
42,0.7941862859509208,0.7945053978608205
43,0.7948779143668987,0.7951926841185644
44,0.7955375877695051,0.7958298038977843
45,0.7961642611709107,0.7964524546494851
46,0.796774948486174,0.7970546449606235
47,0.7973731566559185,0.7976506088788693
48,0.7979607757695195,0.7982278706935736
49,0.7985331189351451,0.7987895011901855
