epoch,train_acc,test_acc
0,0.07139023753378528,0.2923083740931291
1,0.08029766299256974,0.3767389895824286
2,0.13883677992957208,0.6266875679676349
3,0.26615852355856684,0.7625282888229077
4,0.42908773924967253,0.833485328234159
5,0.5720757660942045,0.8814939638743033
6,0.682970586850587,0.9207713179863416
7,0.7683590686682499,0.9488129776257735
8,0.832000745165629,0.9674132764339447
9,0.8773143009505288,0.9792961994042764
10,0.9094164011253653,0.9872643500566483
11,0.9320775571495595,0.9917382196738169
12,0.9477941092818675,0.9945864173082205
13,0.9597024320552646,0.9963989418286544
14,0.9684700356790112,0.9973552960615891
15,0.9745508252771615,0.9980270656255575
16,0.9796628454317549,0.9983939230442047
17,0.9831170211938094,0.9987446849162762
18,0.9856000291779387,0.9989475367160944
19,0.987771893892224,0.9990687175438955
