epoch,train_acc,test_acc
0,0.28141244399222287,0.49281132958804486
1,0.3660379233463618,0.7069380828568768
2,0.47066547256411556,0.8020899590839909
3,0.5923755846522976,0.8489406921193752
4,0.6946398659368579,0.8894806432484783
5,0.7741892643954551,0.9184484212693562
6,0.8324893353264748,0.9398998398346247
7,0.874748270450396,0.9566283161723893
8,0.9058855142007861,0.9678559332687321
9,0.9279075518944099,0.9750720767871194
10,0.9428279318070909,0.9801834453408136
11,0.9536411885178109,0.9835142821671572
12,0.961168401888056,0.9859469237933589
13,0.9669233296503034,0.9876869332830244
