epoch,train_reward
0,0.0028993366776328337
1,0.0027093334417594107
2,0.002293806958110317
3,0.0022552416684400093
4,0.002243939321488142
5,0.002201730520219395
6,0.0022759775533095785
7,0.0023426973248684875
8,0.002179138049924452
9,0.0021387044475168772
10,0.0021133890902427467
11,0.002086492904805039
12,0.0020955950328099882
13,0.0021071213505868065
14,0.002055180822744181
15,0.0020693300818828376
16,0.0020497360229982356
17,0.002022856687146582
18,0.0020153880437934085
19,0.001996673006368311
