epoch,train_acc,test_acc
0,0.647900819182396,0.9285898409985207
1,0.8603785957063947,0.9771030804998165
2,0.9494883074079241,0.993549248656711
3,0.9784004301616124,0.9974853186993986
4,0.9880377276420593,0.9985717607511057
5,0.9920416601453509,0.9990633720078984
6,0.9941960389001029,0.999287169124629
7,0.9954893076079232,0.9994378385914339
8,0.9963272937093463,0.9995188372763427
9,0.9969413652283805,0.9995955730209479
10,0.9973060056413923,0.9996296233824782
11,0.9976455312592643,0.9996629834577844
12,0.9978798177991595,0.9997087700946911
13,0.9981045603207179,0.9997380859143025
