epoch,train_loss,test_loss
0,1.2405714765943663,1.0166643410921097
1,0.9129587278422282,0.823001965880394
2,0.766858223411772,0.7289312848678002
3,0.6859223546604516,0.6643889895998515
4,0.6280046451071697,0.6148002858345325
5,0.5843423378688318,0.5869462530200298
6,0.5560067333657333,0.5636862539328061
7,0.5345867275188266,0.5484232673278222
8,0.51755522713316,0.5354806350973936
9,0.5017001827557882,0.5266436745341008
10,0.4911658203461355,0.5122946311648076
11,0.4809570697321234,0.5048777661644496
12,0.47122422036297795,0.4986657334061769
13,0.46371874072736363,0.49280809611082077
14,0.4578272269330041,0.48512413180791414
15,0.4512433649263398,0.48000604258133817
16,0.44660959618561197,0.4793587327003479
17,0.4415117610835467,0.4719082936644554
18,0.4369166486893439,0.47026971498361003
19,0.4325627219747213,0.4654235662176059
20,0.42794546384602683,0.45979918711460555
21,0.42430624681891815,0.4576553226663516
22,0.4206778739738946,0.453308950823087
23,0.4171467589760067,0.45053484176213926
24,0.41350992718830654,0.4476642981171608
25,0.40983783671952256,0.44368777309472746
26,0.40770547365399723,0.4438553194587047
27,0.4046749867975511,0.4408886054387459
28,0.4012468958944584,0.4406257758920009
29,0.3988621890645236,0.43570715532853055
30,0.39648214682485117,0.4352563035029631
31,0.3952393746285727,0.4341525584459305
32,0.3921096043955999,0.4293074630773984
33,0.38992862017066393,0.4299400792672084
34,0.387368404579283,0.4265617487522272
35,0.3862622308761183,0.4283533927339774
36,0.384712065911855,0.42496976772179973
37,0.38186801255050334,0.42438689504678434
38,0.38164061659112924,0.42494922417860764
39,0.3798619814292349,0.42284376747333086
40,0.37763840353950506,0.42185409223804105
41,0.37645624154043517,0.42015885189175606
42,0.37522132840220773,0.41952327753488833
43,0.3729632672687572,0.419277056478537
44,0.37263078194876714,0.41833405282634956
45,0.3713587099303701,0.41931795328855515
46,0.3701552561286724,0.4183980558927243
47,0.36932771126128205,0.41622526886371464
48,0.3675812073679083,0.41576975068220723
49,0.3674067761560883,0.4140007323943652
