epoch,train_acc,test_acc
0,0.7155765124443003,0.7909970833705022
1,0.8085608474333278,0.8191664562775538
2,0.8247852364573816,0.8287785924397982
3,0.8315179587815346,0.8335850697297317
4,0.835200292393816,0.8364561051130295
5,0.8375351569467924,0.838375061750412
6,0.839147029501019,0.8397709887761337
7,0.840395039982266,0.84092211494079
8,0.8415047474180408,0.8420063337454429
9,0.8425955591779767,0.8431238463291755
10,0.8437346417695184,0.8442933135307752
11,0.8449126904460316,0.8455021839875442
12,0.8460673950737976,0.8466184288263321
13,0.8471584193634264,0.8476922798615235
14,0.8482305084414755,0.8487052172422409
15,0.8491847297358593,0.8496160461352422
16,0.8500566574860904,0.850478816490907
17,0.8508869498867779,0.8512741476297379
18,0.8516853063395529,0.8520652193289536
19,0.8524128873942276,0.8527434284870441
20,0.8530869927470531,0.8534029905612652
21,0.8537220022694431,0.8540207766569577
22,0.8543003718258957,0.8545737140453779
23,0.8548330700758732,0.8550773492226234
24,0.8553606799555948,0.8556242092297628
25,0.8558803567982683,0.8561194355671222
26,0.8563367438436759,0.8565484308279477
27,0.8567817446960745,0.8569983301254419
28,0.8572343586871921,0.8574503270479349
29,0.8576693443537561,0.8578801625050031
30,0.8580731116360687,0.858270465181424
31,0.8584808777478408,0.8586676911665843
32,0.8588616690451047,0.859048089155784
33,0.8592308286063197,0.8594017968727992
34,0.859584183805318,0.8597589169557278
35,0.8599355536879916,0.8601053781234301
36,0.8602672697919788,0.8604241815897135
37,0.8605949030781435,0.8607568591833115
38,0.8609192221855073,0.8610734034043092
39,0.8612357347902625,0.8613916566738715
40,0.8615487905263098,0.8617067818458264
41,0.8618579641335741,0.8620051489426539
42,0.8621537428512316,0.8622962992924911
43,0.8624464048681034,0.8625891151336523
44,0.862721488431648,0.8628558138242135
45,0.8629960528126469,0.8631310520263819
46,0.8632596542538216,0.8633838834670874
47,0.8635047563800106,0.8636253923177719
48,0.863753128433067,0.8638785504377805
49,0.8639907470656565,0.8641031831502914
