epoch,train_acc,test_acc
0,0.08272539939643558,0.2659891557234984
1,0.0635098317819914,0.2901381913285989
2,0.07423014486026684,0.31202544100009477
3,0.09358376307218565,0.40762729426989186
4,0.13528278288164924,0.5772721263078543
5,0.2073235834136555,0.7025087040204269
6,0.30962643654458855,0.7731032382983428
7,0.424021914601326,0.8225360845143979
8,0.5299060452566404,0.860208890759028
9,0.6198307637012366,0.8936464247795252
10,0.6963012993135035,0.9218696573605905
11,0.7567844420972497,0.942277715756343
12,0.8084658663280885,0.9585571105663593
13,0.8485328009232929,0.9707644088910177
14,0.8798589811782644,0.9794141100003169
15,0.9041179327250329,0.9854123695538595
16,0.9226802302530719,0.9895130900236276
17,0.9363699414914706,0.9926489488436625
18,0.9468936570967087,0.9944500189561111
19,0.9559710757298903,0.995820076419757
20,0.9628160558766388,0.9966879085852549
21,0.9683561730465102,0.9973288877652242
22,0.9726458614322071,0.9977755558032256
23,0.9760541378046929,0.9981332742250882
24,0.9791448123326607,0.9983390179964212
25,0.9816029292565805,0.9985122657739199
26,0.9831156095471045,0.9986752695762194
27,0.9847998476590372,0.9987882994688474
28,0.9861557435507726,0.9989446562070113
29,0.9872343626487937,0.9990354741995151
